acc_no,openingDate,name,contact,dob,address,balance
"(185,)","('11-02-2001',)","('chiku',)","(4652793905,)","('12-02-2002',)","('bhopal',)",13000
"(324,)","('12-03-2011',)","('vinay',)","(7769113676,)","('11-02-2001',)","('ujjain',)",13000
"(190,)","('11-02-2012',)","('suresh',)","(4057260596,)","('12-02-2010',)","('devas',)",12000
"(287,)","('13-02-2001',)","('vinay',)","(1242402268,)","('12-02-2010',)","('indore',)",12000
"(118,)","('12-03-2011',)","('nitesh',)","(7516439491,)","('02-02-2012',)","('ujjain',)",15000
"(180,)","('11-02-2001',)","('jay',)","(9572134303,)","('05-02-2015',)","('indore',)",12000
"(492,)","('05-02-2015',)","('bunny',)","(7717470425,)","('12-03-2011',)","('ujjain',)",50000
"(129,)","('12-02-2002',)","('vinay',)","(9959969510,)","('15-02-2020',)","('indore',)",15000
"(169,)","('12-02-2002',)","('vinay',)","(4916643600,)","('12-03-2011',)","('bhopal',)",20000
"(360,)","('11-02-2012',)","('vinay',)","(5629056669,)","('18-04-2001',)","('indore',)",13000
"(116,)","('11-02-2001',)","('chiku',)","(8075008458,)","('11-02-2001',)","('bhopal',)",12000
"(208,)","('11-02-2012',)","('suresh',)","(4399707018,)","('12-02-2002',)","('indore',)",12000
"(195,)","('18-04-2001',)","('nitesh',)","(7990598045,)","('15-02-2020',)","('ujjain',)",13000
"(457,)","('13-02-2001',)","('chiku',)","(8502347816,)","('13-02-2001',)","('devas',)",17000
"(498,)","('11-02-2001',)","('chiku',)","(2328840875,)","('12-03-2011',)","('indore',)",12000
"(371,)","('02-02-2012',)","('nitesh',)","(8748902915,)","('05-02-2015',)","('indore',)",12000
"(326,)","('15-02-2020',)","('nitesh',)","(7101597330,)","('02-02-2012',)","('bhopal',)",13000
"(381,)","('12-02-2002',)","('sunny',)","(6501733299,)","('12-03-2011',)","('indore',)",20000
"(483,)","('05-02-2015',)","('vinny',)","(7483587262,)","('12-02-2002',)","('devas',)",13000
"(347,)","('11-02-2012',)","('neeraj',)","(3115860733,)","('12-02-2010',)","('ujjain',)",17000
"(434,)","('13-02-2001',)","('vinay',)","(5951640167,)","('12-02-2010',)","('indore',)",17000
"(291,)","('12-02-2010',)","('jay',)","(8101431269,)","('11-02-2012',)","('devas',)",17000
